Test set is 100000 lines (89964 positive)
                 SGD classifier : 	460000 train lines (414081 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 10.72s (42898 lines/s)
      NB Multinomial classifier : 	460000 train lines (414081 positive) 100000 test lines ( 89964 positive) accuracy: 0.985 in 10.79s (42635 lines/s)
          Perceptron classifier : 	460000 train lines (414081 positive) 100000 test lines ( 89964 positive) accuracy: 0.987 in 10.83s (42469 lines/s)


  Passive-Aggressive classifier : 	500000 train lines (450129 positive) 100000 test lines ( 89964 positive) accuracy: 0.991 in 11.48s (43540 lines/s)
                 SGD classifier : 	500000 train lines (450129 positive) 100000 test lines ( 89964 positive) accuracy: 0.975 in 11.52s (43394 lines/s)
      NB Multinomial classifier : 	500000 train lines (450129 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 11.58s (43178 lines/s)
          Perceptron classifier : 	500000 train lines (450129 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 11.62s (43022 lines/s)


  Passive-Aggressive classifier : 	540000 train lines (486119 positive) 100000 test lines ( 89964 positive) accuracy: 0.991 in 12.28s (43962 lines/s)
                 SGD classifier : 	540000 train lines (486119 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 12.32s (43821 lines/s)
      NB Multinomial classifier : 	540000 train lines (486119 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 12.38s (43604 lines/s)
          Perceptron classifier : 	540000 train lines (486119 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 12.43s (43460 lines/s)


  Passive-Aggressive classifier : 	580000 train lines (522097 positive) 100000 test lines ( 89964 positive) accuracy: 0.991 in 13.10s (44280 lines/s)
                 SGD classifier : 	580000 train lines (522097 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 13.14s (44140 lines/s)
      NB Multinomial classifier : 	580000 train lines (522097 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 13.21s (43900 lines/s)
          Perceptron classifier : 	580000 train lines (522097 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 13.25s (43774 lines/s)


  Passive-Aggressive classifier : 	620000 train lines (558018 positive) 100000 test lines ( 89964 positive) accuracy: 0.991 in 13.98s (44353 lines/s)
                 SGD classifier : 	620000 train lines (558018 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 14.03s (44202 lines/s)
      NB Multinomial classifier : 	620000 train lines (558018 positive) 100000 test lines ( 89964 positive) accuracy: 0.986 in 14.09s (43999 lines/s)
          Perceptron classifier : 	620000 train lines (558018 positive) 100000 test lines ( 89964 positive) accuracy: 0.985 in 14.13s (43865 lines/s)


